family,metric,metric_label,athlete,mean,median,sd,iqr,min,max,ci_low,ci_high,n_valid_matches,n_observations,low_n_matches,main_eligible
process_proxy,net_continuation_proxy,网前连续使用代理,对手,0.584901580216679,0.592267798208392,0.0726724424614369,0.0824367737525632,0.4,0.762376237623762,0.556272041166052,0.613365920322595,24,2999,0,1
process_proxy,defense_to_attack_proxy,防守转攻代理,石宇奇,0.32601267204542,0.31031746031746,0.122397923072227,0.151167628855256,0.0909090909090909,0.583333333333333,0.278400351297775,0.374749401643632,24,754,4,1
process_proxy,defense_to_attack_proxy,防守转攻代理,对手,0.332641168390045,0.340579710144927,0.101913133310041,0.0883044007076514,0.133333333333333,0.612903225806452,0.293485650120234,0.372523576320538,24,737,1,1
auxiliary,long_rally_share_10,长回合暴露（≥10拍）,石宇奇,0.597673933102362,0.600394255139397,0.0930774237704394,0.120239032067677,0.351851851851852,0.779411764705882,0.56072992842104,0.632674909786747,24,1923,0,1
auxiliary,long_rally_share_10,长回合暴露（≥10拍）,对手,0.597673933102362,0.600394255139397,0.0930774237704394,0.120239032067677,0.351851851851852,0.779411764705882,0.560260974144864,0.633650611201332,24,1923,0,1
auxiliary,long_rally_share_8,长回合暴露（≥8拍）,石宇奇,0.725484269453292,0.733018580566555,0.086795099237744,0.0816990980034459,0.481481481481481,0.882352941176471,0.691012185520301,0.758430714535752,24,1923,0,1
auxiliary,long_rally_share_8,长回合暴露（≥8拍）,对手,0.725484269453292,0.733018580566555,0.086795099237744,0.0816990980034459,0.481481481481481,0.882352941176471,0.690337971805271,0.758768697141998,24,1923,0,1
auxiliary,long_rally_share_12,长回合暴露（≥12拍）,石宇奇,0.486512944253393,0.480555555555556,0.113255565443081,0.132189175046318,0.12962962962963,0.676470588235294,0.439292554245362,0.528224105357107,24,1923,0,1
auxiliary,long_rally_share_12,长回合暴露（≥12拍）,对手,0.486512944253393,0.480555555555556,0.113255565443081,0.132189175046318,0.12962962962963,0.676470588235294,0.439551749441704,0.529947402223227,24,1923,0,1
auxiliary,landing_entropy,落点熵,石宇奇,0.781361486630715,0.784534418389724,0.055125125750959,0.0614338199585961,0.643366322658544,0.873045204590655,0.759559631205465,0.803279986524344,24,6459,0,1
auxiliary,landing_entropy,落点熵,对手,0.76333157642948,0.777067065321731,0.106113130698669,0.12227622079477,0.392524546520301,0.884987645976811,0.717553760045331,0.800735594869877,24,6395,0,1
auxiliary,line_entropy,横向位移熵,石宇奇,0.68429850552556,0.685595999222578,0.0791846174124351,0.109627687560533,0.547856923325144,0.846432115997125,0.65328728774233,0.716329077270295,24,12938,0,1
auxiliary,line_entropy,横向位移熵,对手,0.66454393353722,0.674703158638144,0.0748868590599943,0.107560020662712,0.477731855352056,0.770676875410518,0.634318468775719,0.692849342229771,24,11266,0,1
auxiliary,landing_coverage,落点覆盖代理,石宇奇,0.981481481481482,1,0.0535048235936752,0,0.777777777777778,1,0.958333333333333,1,24,6459,0,1
auxiliary,landing_coverage,落点覆盖代理,对手,0.986111111111111,1,0.0680413817439772,0,0.666666666666667,1,0.958333333333333,1,24,6395,0,1
auxiliary,classified_rate,已分类率,石宇奇,0.715597105289945,0.722704095662353,0.0708144959368344,0.107894636184849,0.563025210084034,0.842168674698795,0.68775069873685,0.74245576475339,24,14157,0,1
auxiliary,classified_rate,已分类率,对手,0.717662850508775,0.7192242114237,0.0700551317456825,0.0767246587188755,0.510526315789474,0.810945273631841,0.68934318077196,0.743739423341416,24,12472,0,1
